Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
876;24364;"Computers, Materials and Continua";journal;"15462218, 15462226";0,525;Q2;51;1352;1785;45835;6615;1785;3,75;33,90;United States;Northern America;"Tech Science Press";"2004-2023";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Mechanics of Materials (Q2); Modeling and Simulation (Q2); Biomaterials (Q3)";"Computer Science; Engineering; Materials Science; Mathematics"
877;15300154801;"Eurasip Journal on Advances in Signal Processing";journal;"16876172, 16876180";0,525;Q2;95;114;219;3859;547;219;2,25;33,85;United States;Northern America;"Springer Publishing Company";"2007-2022";"Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Hardware and Architecture (Q3)";"Computer Science; Engineering"
878;21100239834;"Journal of Aerospace Information Systems";journal;"23273097";0,525;Q2;40;64;165;2632;352;156;2,19;41,13;United States;Northern America;"American Institute of Aeronautics and Astronautics Inc. (AIAA)";"2013-2022";"Aerospace Engineering (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
879;21100904890;"Journal of Computer Languages";journal;"25901184, 26659182";0,525;Q2;12;31;105;1551;267;99;2,64;50,03;United Kingdom;Western Europe;"Elsevier Ltd.";"2019-2022";"Computer Networks and Communications (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science"
880;24998;"Computer Aided Geometric Design";journal;"01678396";0,524;Q2;74;52;210;1729;368;203;1,70;33,25;Netherlands;Western Europe;"Elsevier";"1984-2022";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Computer Graphics and Computer-Aided Design (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
881;21100201056;"Electronic Journal of e-Learning";journal;"14794403";0,524;Q2;33;46;107;2378;318;102;2,91;51,70;United Kingdom;Western Europe;"Academic Publishing Limited";"2011-2022";"Computer Science Applications (Q2); Education (Q2); E-learning (Q2)";"Computer Science; Social Sciences"
882;21100266502;"Journal of Cryptographic Engineering";journal;"21908516, 21908508";0,523;Q2;30;41;80;1733;197;78;2,60;42,27;United States;Northern America;"Springer Science + Business Media";"2011-2022";"Computer Networks and Communications (Q2); Software (Q3)";"Computer Science"
883;24357;"Journal of Experimental and Theoretical Artificial Intelligence";journal;"13623079, 0952813X";0,523;Q3;47;138;164;6797;471;162;3,00;49,25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2022";"Artificial Intelligence (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
884;21100217227;"Iranian Journal of Science and Technology - Transactions of Electrical Engineering";journal;"22286179";0,522;Q2;23;104;343;3826;1061;343;3,39;36,79;Switzerland;Western Europe;"Springer International Publishing AG";"2012-2013, 2016-2022";"Computer Networks and Communications (Q2); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Signal Processing (Q2)";"Computer Science; Energy; Engineering"
885;15435;"Journal of Consciousness Studies";journal;"20512201, 13558250";0,521;Q3;72;66;234;3081;293;217;0,78;46,68;United Kingdom;Western Europe;"Imprint Academic";"1996-2022";"Philosophy (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2); Artificial Intelligence (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Computer Science; Psychology"
886;26644;"Concurrent Engineering Research and Applications";journal;"15312003, 1063293X";0,520;Q2;44;47;84;1230;285;82;3,69;26,17;United Kingdom;Western Europe;"SAGE Publications Ltd";"1993-2022";"Computer Science Applications (Q2); Engineering (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
887;25529;"Optimal Control Applications and Methods";journal;"10991514, 01432087";0,520;Q3;50;126;306;5170;700;304;2,24;41,03;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1980-2022";"Applied Mathematics (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Software (Q3)";"Computer Science; Engineering; Mathematics"
888;21101063833;"International Journal of Cloud Applications and Computing";journal;"21561826, 21561834";0,519;Q2;8;77;26;3461;128;26;4,92;44,95;United States;Northern America;"IGI Global Publishing";"2021-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Human-Computer Interaction (Q3)";"Computer Science"
889;19829;"Operating Systems Review (ACM)";journal;"01635980";0,518;Q2;106;10;31;283;63;30;1,78;28,30;United States;Northern America;"Association for Computing Machinery (ACM)";"1980-1991, 1993, 1996-2010, 2013-2022";"Computer Networks and Communications (Q2); Information Systems (Q2); Hardware and Architecture (Q3)";"Computer Science"
890;21100893766;"Frontiers in ICT";journal;"2297198X";0,517;Q2;23;0;20;0;71;18;1,00;0,00;Switzerland;Western Europe;"Frontiers Media S.A.";"2014-2020";"Computer Networks and Communications (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Hardware and Architecture (Q3); Software (Q3)";"Computer Science"
891;17964;"International Journal of Communication Systems";journal;"10991131, 10745351";0,517;Q2;56;371;1039;15023;2839;1034;2,80;40,49;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1994-2022";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
892;28416;"Science of Computer Programming";journal;"01676423";0,517;Q2;67;79;241;3182;396;216;1,61;40,28;Netherlands;Western Europe;"Elsevier";"1981-2022";"Computational Theory and Mathematics (Q2); Information Systems (Q2); Modeling and Simulation (Q2); Software (Q3)";"Computer Science; Mathematics"
893;12962;"Journal of Intelligent Systems";journal;"03341860, 2191026X";0,516;Q2;25;89;255;2722;806;254;3,20;30,58;Germany;Western Europe;"Walter de Gruyter GmbH";"1991-2002, 2004-2022";"Information Systems (Q2); Artificial Intelligence (Q3); Software (Q3)";"Computer Science"
894;21100450131;"Journal of Technology and Science Education";journal;"20145349, 20136374";0,516;Q2;17;45;105;1974;298;104;2,20;43,87;Spain;Western Europe;"";"2014-2022";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
895;12409;"Multidimensional Systems and Signal Processing";journal;"15730824, 09236082";0,516;Q2;44;64;238;2489;660;238;2,92;38,89;Netherlands;Western Europe;"Springer Netherlands";"1990-2022";"Applied Mathematics (Q2); Computer Science Applications (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Hardware and Architecture (Q3); Signal Processing (Q3); Software (Q3)";"Computer Science; Mathematics"
896;21101066249;"IEEE Open Journal of Intelligent Transportation Systems";journal;"26877813";0,515;Q2;7;66;57;3004;162;56;2,84;45,52;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020";"Automotive Engineering (Q2); Computer Science Applications (Q2); Mechanical Engineering (Q2)";"Computer Science; Engineering"
897;21100283377;"Australasian Journal of Engineering Education";journal;"13245821, 13254340";0,514;Q3;12;9;44;419;123;37;3,03;46,56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013, 2015-2022";"Education (Q2); Engineering (miscellaneous) (Q2); Human-Computer Interaction (Q3)";"Computer Science; Engineering; Social Sciences"
898;5400152646;"IET Image Processing";journal;"17519667, 17519659";0,514;Q2;54;327;1128;14316;3167;1121;2,73;43,78;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2022";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q3); Software (Q3)";"Computer Science; Engineering"
899;15464;"IEEE Transactions on Nanotechnology";journal;"1536125X";0,512;Q2;90;108;393;3966;1158;393;2,59;36,72;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2022";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Nanoscience and Nanotechnology (Q2)";"Computer Science; Engineering; Materials Science"
900;19700188257;"International Journal of Image and Data Fusion";journal;"19479832, 19479824";0,511;Q2;32;24;58;1185;174;51;2,80;49,38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2022";"Computer Science Applications (Q2); Earth and Planetary Sciences (miscellaneous) (Q2)";"Computer Science; Earth and Planetary Sciences"
901;14452;"Simulation";journal;"17413133, 00375497";0,510;Q2;53;89;198;4019;444;195;2,06;45,16;United Kingdom;Western Europe;"SAGE Publications Ltd";"1963-2022";"Computer Graphics and Computer-Aided Design (Q2); Mathematics (miscellaneous) (Q2); Modeling and Simulation (Q2); Software (Q3)";"Computer Science; Mathematics"
902;4500151509;"International Journal of Applied Mathematics and Computer Science";journal;"1641876X";0,507;Q2;50;48;166;1822;356;166;2,38;37,96;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2002, 2006-2022";"Applied Mathematics (Q2); Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering; Mathematics"
903;144908;"Library Hi Tech";journal;"07378831";0,507;Q2;44;201;207;11479;733;201;3,71;57,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2022";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
904;19700182801;"Procedia Computer Science";conference and proceedings;"18770509";0,507;-;109;1739;6334;39889;17099;6221;2,56;22,94;Netherlands;Western Europe;"Elsevier BV";"2010-2022";"Computer Science (miscellaneous)";"Computer Science"
905;21101096684;"HighTech and Innovation Journal";journal;"27239535";0,506;Q2;14;37;56;1286;187;56;3,34;34,76;Italy;Western Europe;"Ital Publication";"2020-2022";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
906;21100210905;"i-Perception";journal;"20416695";0,506;Q3;34;43;214;2289;355;214;1,90;53,23;United Kingdom;Western Europe;"SAGE Publications Ltd";"2010-2022";"Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
907;21101076323;"Digital Geography and Society";journal;"26663783";0,505;Q2;4;21;18;1456;54;17;3,00;69,33;United Kingdom;Western Europe;"Elsevier Ltd.";"2020-2022";"Computer Science Applications (Q2); Development (Q2); Geography, Planning and Development (Q2); Information Systems (Q2); Social Sciences (miscellaneous) (Q2)";"Computer Science; Social Sciences"
908;21100945706;"Multimodal Technologies and Interaction";journal;"24144088";0,504;Q2;27;111;245;7082;774;243;3,17;63,80;Switzerland;Western Europe;"MDPI AG";"2017-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Human-Computer Interaction (Q3); Neuroscience (miscellaneous) (Q3)";"Computer Science; Neuroscience"
909;21100855506;"International Journal of E-Planning Research";journal;"21609926, 21609918";0,503;Q2;11;1;63;43;177;63;3,04;43,00;United States;Northern America;"IGI Global Publishing";"2017-2022";"Computer Science Applications (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Computer Science; Social Sciences"
910;21100812152;"International Journal of Networked and Distributed Computing";journal;"22117938, 22117946";0,503;Q2;10;4;42;66;94;42;2,14;16,50;Netherlands;Western Europe;"Springer International Publishing AG";"2013-2021";"Computer Networks and Communications (Q2); Computer Science Applications (Q3)";"Computer Science"
911;12188;"Simulation and Gaming";journal;"1552826X, 10468781";0,503;Q2;67;38;144;1638;358;126;2,31;43,11;United States;Northern America;"SAGE Publications Inc.";"1970-1976, 1978-1983, 1985, 1987-2022";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Social Sciences (miscellaneous) (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
912;21100899438;"Communication Research and Practice";journal;"22063374";0,502;Q2;13;31;81;1442;138;67;1,08;46,52;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016, 2018-2022";"Political Science and International Relations (Q1); Communication (Q2); Computer Networks and Communications (Q2); Marketing (Q2); Human-Computer Interaction (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
913;19900192316;"International Journal of Architectural Computing";journal;"14780771";0,502;Q2;19;47;88;1629;178;76;1,85;34,66;United Kingdom;Western Europe;"SAGE Publications Inc.";"2011-2022";"Building and Construction (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q3)";"Computer Science; Engineering"
914;21100200653;"Information Polity";journal;"18758754, 15701255";0,501;Q2;40;29;83;1349;156;73;1,67;46,52;Netherlands;Western Europe;"IOS Press BV";"2002-2022";"Communication (Q2); Geography, Planning and Development (Q2); Information Systems (Q2); Public Administration (Q2); Sociology and Political Science (Q2)";"Computer Science; Social Sciences"
915;19900194826;"Journal of Global Information Technology Management";journal;"1097198X, 23336846";0,501;Q2;36;21;60;1135;164;37;1,38;54,05;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2022";"E-learning (Q2); Information Systems (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Social Sciences"
916;58655;"Journal of Systems Engineering and Electronics";journal;"16711793";0,501;Q3;39;135;337;4821;808;336;2,57;35,71;China;Asiatic Region;"Kexue Chubaneshe/Science Press";"1992-2022";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)";"Computer Science; Engineering"
917;28469;"Discrete Optimization";journal;"15725286";0,500;Q2;41;37;78;1084;101;78;1,07;29,30;Netherlands;Western Europe;"Elsevier";"2004-2022";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
918;12100155655;"Journal of Location Based Services";journal;"17489725, 17489733";0,499;Q2;27;17;33;736;77;33;2,57;43,29;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2022";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q3)";"Computer Science; Engineering"
919;29053;"Molecular Diversity";journal;"1573501X, 13811991";0,499;Q2;62;352;334;20162;1471;332;4,55;57,28;Netherlands;Western Europe;"Springer Netherlands";"1995-1998, 2000, 2003-2022";"Information Systems (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Catalysis (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
